jobtitle,similar_titles
ingeniero técnico naval/ingeniera técnica naval,"ingeniero técnico naval/ingeniera técnica naval
perita naval
ingeniera técnica de sistemas marinos
ingeniera técnica maritima
ingeniera técnica en marina civil
perito naval
ingeniera técnica naval
ingeniero técnico naval
ingeniero técnico marítimo
ingeniero técnico en marina civil
ingeniero técnico de sistemas marinos"
director de casa de subastas/directora de casa de subastas,"director de casa de subastas/directora de casa de subastas
directora de casa de subastas
subastadora
subastador
director de casa de subastas
gerente de casa de subastas"
analista de software,"analista de software
analista de programación
analistas de software
analizadora de software
analista de aplicaciones
analista de requisitos de software
analizador de software"
director de contabilidad/directora de contabilidad,"director de contabilidad/directora de contabilidad
jefe de contabilidad
director de contabilidad
jefa de contabilidad
contable jefe
directora de contabilidad"
director de fábrica de fundición/directora de fábrica de fundición,"director de fábrica de fundición/directora de fábrica de fundición
director de fundición
directora de fundición
director de fábrica de fundición
directora de fábrica de fundición"
especialista en categorías de contratación,"especialista en categorías de contratación
especialista de categoría
especialista en suministros
especialista en mercado"
técnico de telecomunicación/técnica de telecomunicación,"técnico de telecomunicación/técnica de telecomunicación
técnica de telecomunicación
técnico de telecomunicación
técnica de telecos
experto en telecomunicaciones
experta en telecomunicaciones
técnico de telecos"
demostrador de promociones/demostradora de promociones,"demostrador de promociones/demostradora de promociones
demostrador de promociones
demostradora de promociones"
instructor de navegación/instructora de navegación,"instructor de navegación/instructora de navegación
instructor de navegación
instructora de navegación"
cambista de divisas,"cambista de divisas
corredor de cambios
especialista en operaciones con divisas
operador del mercado de divisas
analista financiero
analista financiera
corredora de cambios
operadora del mercado de divisas"
ingeniero técnico aeroespacial/ingeniera técnica aeroespacial,"ingeniero técnico aeroespacial/ingeniera técnica aeroespacial
ingeniera técnica aeroespacial en aeronaves
ingeniero técnico aeroespacial
ingeniero técnico aeroespacial en aeronaves
ingeniero técnico aeronáutico
ingeniera técnica aeroespacial
ingeniera técnica aeronáutica"
operador de sierra de mesa/operadora de sierra de mesa,"operador de sierra de mesa/operadora de sierra de mesa
operador de sierra ingletadora
técnica en sierra de mesa
operador de sierra circular
operadora de sierra ingletadora
especialista en sierra de mesa
operador de sierra de mesa
operadora de sierra circular
técnico en sierra de mesa
operador de sierra para tableros
operadora de sierra para tableros
operadora de sierra de mesa"
supervisor de construcción de puentes/supervisora de construcción de puentes,"supervisor de construcción de puentes/supervisora de construcción de puentes
encargado de obra
ingeniero civil
supervisora de construcción de puentes
ingeniera de caminos, canales y puertos
supervisor de construcción de puentes
ingeniera civil
supervisora de obra de construcción de puentes
encargada de obra
ingeniero de caminos, canales y puertos
supervisor de obra de construcción de puentes"
cortador de carne/cortadora de carne,"cortador de carne/cortadora de carne
encargada de la operación de corte de carne
encargado de la operación de corte de carne
cortadora de carne
cortador de carne
responsable de la operación de corte de carne"
criminólogo/criminóloga,"criminólogo/criminóloga
criminólogo
criminóloga"
operador de vídeo/operadora de vídeo,"operador de vídeo/operadora de vídeo
operadora de vídeo
operador de vídeo"
vendedor especializado en pescado y mariscos/vendedora especializada en pescado y mariscos,"vendedor especializado en pescado y mariscos/vendedora especializada en pescado y mariscos
vendedora especializada en pescado y marisco
vendedor especializado en pescado y marisco"
director de producción de gas y petróleo/directora de producción de gas y petróleo,"director de producción de gas y petróleo/directora de producción de gas y petróleo
gerente de producción de gas y petróleo
jefe de producción de gas y petróleo
directora de producción de gas y petróleo
jefa de producción de gas y petróleo
director de producción de gas y petróleo"
técnico de metalurgia/técnica de metalurgia,"técnico de metalurgia/técnica de metalurgia
técnica en metalurgia y minas
técnico en metalurgia y minas
técnica de minería
técnico de metalurgia
técnico de minería
técnica de laboratorio de aceros y otros metales
técnica de metalurgia
técnico de laboratorio de aceros y otros metales"
operario de hilatura de textiles/operaria de hilatura de textiles,"operario de hilatura de textiles/operaria de hilatura de textiles
operaria de hilatura de textiles
técnico de hilado textil
técnica de hilado textil
operario de hilatura de textiles"
instalador de suelos resistentes/instaladora de suelos resistentes,"instalador de suelos resistentes/instaladora de suelos resistentes
instalador de suelos de vinilo
instalador de suelos laminados
instalador de suelos resistentes
instaladora de suelos resistentes
instaladora de suelos laminados
instalador de suelos de linóleo
instaladora de baldosas de vinilo
instalador de baldosas de vinilo
instaladora de suelos de vinilo
instaladora de suelos de linóleo"
técnico de control de calidad de productos textiles/técnica de control de calidad de productos textiles,"técnico de control de calidad de productos textiles/técnica de control de calidad de productos textiles
técnica de laboratorio para física textil
especialista en control de calidad de los productos textiles
técnico de control de calidad de productos textiles
técnico de laboratorio para física textil
técnico de laboratorio para productos textiles
técnica de control de calidad de productos textiles
técnica de laboratorio para productos textiles"
empleado de la sala de curado/empleada de la sala de curado,"empleado de la sala de curado/empleada de la sala de curado
empleada de la sala de curado de tabaco
empleada de la sala de curado
responsable de la sala de curado
empleado de la sala de curado de tabaco
encargada de la sala de curado de tabaco
encargado de la sala de curado de tabaco
empleado de la sala de curado"
esmaltador/esmaltadora,"esmaltador/esmaltadora
esmaltador de joyas
esmaltadora
técnico de máquinas para esmaltar
esmaltador
operador de esmaltado
operadora de esmaltado
esmaltadora de joyas
operador de máquinas para esmaltar
operadora de máquinas para esmaltar
técnica de máquinas para esmaltar"
consultor de selección de personal/consultora de selección de personal,"consultor de selección de personal/consultora de selección de personal
cazatalentos
agente de empresa de trabajo temporal
consultor de selección de personal
consultora de selección de personal"
consultor actuarial/consultora actuarial,"consultor actuarial/consultora actuarial
actuaria
consultora actuarial
consultor actuarial
actuario"
diseñador de iluminación para espectáculos/diseñadora de iluminación para espectáculos,"diseñador de iluminación para espectáculos/diseñadora de iluminación para espectáculos
diseñadora de iluminación
diseñador de iluminación"
repetidor de danza/repetidora de danza,"repetidor de danza/repetidora de danza
repetidor de danza
repetidora de danza
acompañante de ensayos
asistente de coreografía"
técnico de baterías de automoción/técnica de baterías de automoción,"técnico de baterías de automoción/técnica de baterías de automoción
técnico de baterías de automoción
instalador de baterías de automóviles
técnica de baterías de automoción
instaladora de baterías de automóviles"
diseñador de calzado/diseñadora de calzado,"diseñador de calzado/diseñadora de calzado
diseñador de calzado mediante programas de diseño asistido por ordenador
diseñador de calzado
diseñadora de calzado
diseñadora de calzado mediante programas de diseño asistido por ordenador"
director de servicio público de empleo/directora de servicio público de empleo,"director de servicio público de empleo/directora de servicio público de empleo
director de servicio público de empleo
directora de servicio público de empleo"
patronista escalador textil/patronista escaladora textil,"patronista escalador textil/patronista escaladora textil
patronista escaladora textil
patronista escalador textil"
personal directivo de la administración pública,"personal directivo de la administración pública
funcionaria responsable de área
personal directivo de la administración pública
funcionario responsable de área"
analista de créditos,"analista de créditos
asesora de créditos
asesor de créditos
gestor de solvencia
analista financiero
gestora de solvencia"
supervisor de obras de fontanería/supervisora de obras de fontanería,"supervisor de obras de fontanería/supervisora de obras de fontanería
supervisora de obras de fontanería
supervisor de obras de fontanería
jefe de equipo de fontaneros
supervisora de fontaneros e instaladores de tuberías
especialista en instalación de tuberías
jefa de equipo de fontaneros
supervisor de fontaneros e instaladores de tuberías"
analista de valores,"analista de valores
analista bursátil"
bailarín/bailarina,"bailarín/bailarina
bailarín
bailarina"
técnico en calzado a medida/técnica en calzado a medida,"técnico en calzado a medida/técnica en calzado a medida
técnica en calzado a medida
técnico en calzado a medida"
juez/jueza,"juez/jueza
magistrada
jueza
magistrado
juez"
diseñador de marionetas/diseñadora de marionetas,"diseñador de marionetas/diseñadora de marionetas
diseñadora de marionetas
diseñador de marionetas"
operador de prensa flexográfica,"operador de prensa flexográfica
impresora de flexografía
operador de prensa flexográfica
operadora de prensa flexográfica
impresor de flexografía"
ingeniero de confiabilidad y seguridad/ingeniera de confiabilidad y seguridad,"ingeniero de confiabilidad y seguridad/ingeniera de confiabilidad y seguridad
ingeniera de seguridad de funcionamiento
Ingeniero de Confiabilidad
ingeniera de confiabilidad y seguridad
ingeniero de confiabilidad y seguridad
ingeniera de RAM
ingeniero RAMS
Ingeniera de Confiabilidad
ingeniero de seguridad de funcionamiento
ingeniero de RAM
ingeniera RAMS"
ingeniero de integración/ingeniera de integración,"ingeniero de integración/ingeniera de integración
ingeniera de integración de las TIC
ingeniera de integración de las TICs
ingeniero de integración de las TICs
ingeniero de integración de las TIC
ingeniera de integración de software
ingeniera de integración de sistemas
ingeniero de integración de software
ingeniero de integración de sistemas"
presentador del pronóstico del tiempo/presentadora del pronóstico del tiempo,"presentador del pronóstico del tiempo/presentadora del pronóstico del tiempo
meteorólogo
presentador del pronóstico del tiempo
presentadora del pronóstico del tiempo
meteoróloga"
artista callejero/artista callejera,"artista callejero/artista callejera
artista callejero
muralista
artista callejera
grafitera
grafitero"
gerente de centro termal,"gerente de centro termal
gerente de spa
gerente de centro balneario
gerente de estación balnearia"
atleta profesional,"atleta profesional
deportista profesional
atleta profesional"
veterinario especializado/veterinaria especializada,"veterinario especializado/veterinaria especializada
veterinario de diagnóstico por imagen
veterinario de pequeños rumiantes
veterinaria de pequeños rumiantes
veterinaria de animales de laboratorio
veterinario de ganado
veterinaria de diagnóstico por imagen
oftalmólogo veterinario
veterinario especializado
veterinaria de medicina deportiva y rehabilitación
dermatólogo veterinario
científico veterinario de aves de corral
veterinario de animales de laboratorio
cardióloga veterinaria
farmacólogo y toxicólogo veterinario
patóloga veterinaria
veterinario de animales acuáticos
farmacóloga y toxicóloga veterinario
oftalmóloga veterinaria
neuróloga veterinaria
cardiólogo veterinario
veterinaria de medicina zoológica
veterinaria de animales salvajes
veterinaria especializada en medicina del comportamiento animal
patólogo veterinario
neurólogo veterinario
veterinaria de animales acuáticos
veterinario de medicina deportiva y rehabilitación
dermatóloga veterinaria
veterinaria de ganado
oncóloga veterinaria
veterinario de animales salvajes
veterinario de medicina zoológica
científica veterinaria de aves de corral
veterinario especializado en medicina del comportamiento animal
especialista en teriogenología veterinaria
veterinaria especializada
oncólogo veterinario
nutricionista comparativo/comparativa veterinario/veterinaria"
tramoyista,"tramoyista
operadora de maquinaria escénica automatizada
operador de maquinaria escénica automatizada
tramoyista"
técnico de puesta en servicio/técnica de puesta en servicio,"técnico de puesta en servicio/técnica de puesta en servicio
técnico de puesta en servicio
técnica especializada en finalización de proyectos
técnica de puesta en servicio
técnico especializado en finalización de proyectos"
director de sucursal/directora de sucursal,"director de sucursal/directora de sucursal
director de sucursal
directora de sucursal"
especialista en optimización de motores de búsqueda,"especialista en optimización de motores de búsqueda
optimizador de motores de búsqueda
especialistas en optimización de motores de búsqueda
asesora de optimización de motores de búsqueda
experto en optimización de motores de búsqueda
especialista en SEO
experto en SEO
asesor de optimización de motores de búsqueda
optimizadora de motores de búsqueda
experta en optimización de motores de búsqueda
experta en SEO"
técnico de redes hidráulicas/técnica de redes hidráulicas,"técnico de redes hidráulicas/técnica de redes hidráulicas
técnica de mantenimiento de redes hidráulicas
operaria de redes de suministro de agua
operario de redes de suministro de agua
técnico de redes hidráulicas
técnica de redes hidráulicas
técnico de mantenimiento de redes hidráulicas"
orientador laboral de servicios para jóvenes/orientadora laboral de servicios para jóvenes,"orientador laboral de servicios para jóvenes/orientadora laboral de servicios para jóvenes
experto en información juvenil
trabajadora juvenil escolar
animador de información juvenil
trabajador juvenil escolar
gerente extracurricular
director del centro juvenil
agente juvenil
animadora de información juvenil
directora del centro juvenil
técnico en información y asesoramiento juvenil
trabajadora de información de campo
consultora de proyectos juveniles
consultor de proyectos juveniles
consultora de información juvenil
consejera juvenil
proveedor de información juvenil
experta en información juvenil
líder de la misión de información
consultora de carrera juvenil
consultor de carrera juvenil
técnica en información y asesoramiento juvenil
consejero juvenil
consultor de información juvenil
mentor de jóvenes
moderador juvenil
facilitador de jóvenes
informante juvenil
consultor de jóvenes
trabajador de información de campo
consultora de jóvenes"
comprador/compradora de café verde,"comprador/compradora de café verde
responsable de la compra de café verde
responsable de compra de café verde
encargada de la compra de café verde
encargado de la compra de café verde"
profesor universitario de economía/profesora universitaria de economía,"profesor universitario de economía/profesora universitaria de economía
profesora universitaria de economía
profesor universitario de economía"
